generic_name,brand_name,strength,price_inr,source
Albuterol,ProAir HFA,90mcg,,USA
Budesonide,Pulmicort,200mcg,,USA
Fluticasone,Flovent,250mcg,,USA
Tiotropium,Spiriva,18mcg,,USA
Benzonatate,Tessalon,200mg,,USA
Dextromethorphan,Robitussin,10mg,,USA
Guaifenesin,Mucinex,600mg,,USA
Acetylcysteine,Mucomyst,200mg,,USA
Paroxetine,Paxil,20mg,,USA
Sertraline,Zoloft,50mg,,USA
Fluoxetine,Prozac,20mg,,USA
Escitalopram,Lexapro,10mg,,USA
Alprazolam,Xanax,0.5mg,,USA
Diazepam,Valium,5mg,,USA
Quetiapine,Seroquel,100mg,,USA
Olanzapine,Zyprexa,10mg,,USA
Haloperidol,Haldol,5mg,,USA
Gabapentin,Neurontin,300mg,,USA
Pregabalin,Lyrica,75mg,,USA
Carbamazepine,Tegretol,200mg,,USA
Valproic Acid,Depakene,500mg,,USA
Lamotrigine,Lamictal,100mg,,USA
Topiramate,Topamax,50mg,,USA
Morphine,Morphine Sulfate,15mg,,USA
Tramadol,Ultram,50mg,,USA
Hydrocodone,Hydrocodone/APAP 5-325,,USA
Oxycodone,OxyContin,10mg,,USA
Codeine,Codeine/APAP 30-300,,USA
Acetylsalicylic Acid,Aspirin,325mg,,USA
Naproxen,Naprosyn,500mg,,USA
Ketorolac,Toradol,10mg,,USA
Cyclobenzaprine,Flexeril,10mg,,USA
Baclofen,Lioresal,10mg,,USA
Allopurinol,Zyloprim,100mg,,USA
Colchicine,Colcrys,0.6mg,,USA
Levocetirizine,Xyzal,5mg,,USA
Meclizine,Antivert,25mg,,USA
Ondansetron,Zofran,4mg,,USA
Omeprazole + Sodium Bicarb,Zegerid,20mg,,USA
Famotidine,Pepcid,20mg,,USA
Sucralfate,Carafate,1g,,USA
Alendronate,Fosamax,70mg,,USA
Cholecalciferol,Vitamin D3,2000IU,,USA
Magnesium,Mag-Ox,400mg,,USA
Potassium Chloride,Klor-Con,10mEq,,USA
Folic Acid,Folvite,1mg,,USA
Cyanocobalamin,Vitamin B12,1000mcg,,USA
Ivermectin,Stromectol,12mg,,USA
Nicotine,Nicoderm CQ Patch,21mg,,USA
Clindamycin,Cleocin,300mg,,USA
Vancomycin,Vancocin,500mg,,USA
Meropenem,Merrem,1g,,USA
Ceftriaxone,Rocephin,1g,,USA
Cefazolin,Ancef,1g,,USA
Cefuroxime,Ceftin,500mg,,USA
Cefepime,Maxipime,1g,,USA
Aztreonam,Azactam,1g,,USA
Acyclovir,Zovirax,400mg,,USA
Oseltamivir,Tamiflu,75mg,,USA
Ranitidine,Zantac,150mg,,USA
Torsemide,Demadex,10mg,,USA
